0:0:0:0:0:0:0:1 - - [15/May/2026:13:22:15 +0530] "GET /AriesFashionStore/assets/img/aries_accessories_1778626670825.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [15/May/2026:13:22:15 +0530] "GET /AriesFashionStore/assets/img/aries_kids_fashion_1778626430894.png HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [15/May/2026:13:22:22 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [15/May/2026:13:22:42 +0530] "GET /AriesFashionStore/login HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [15/May/2026:13:23:10 +0530] "GET /AriesFashionStore/register HTTP/1.1" 200 1242
0:0:0:0:0:0:0:1 - - [15/May/2026:13:23:48 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [15/May/2026:13:23:48 +0530] "GET /AriesFashionStore/assets/css/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:09 +0530] "GET /AriesFashionStore/products HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:23 +0530] "GET /AriesFashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:23 +0530] "GET /AriesFashionStore/login HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:26 +0530] "POST /AriesFashionStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:26 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:29 +0530] "GET /AriesFashionStore/cart HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:32 +0530] "GET /AriesFashionStore/products HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:33 +0530] "GET /AriesFashionStore/product-details?id=11 HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:35 +0530] "POST /AriesFashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:35 +0530] "GET /AriesFashionStore/product-details?id=11 HTTP/1.1" 200 3729
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:37 +0530] "GET /AriesFashionStore/cart HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:37 +0530] "GET /AriesFashionStore/assets/images/default.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/May/2026:13:24:53 +0530] "GET /AriesFashionStore/checkout HTTP/1.1" 200 3910
0:0:0:0:0:0:0:1 - - [15/May/2026:13:25:48 +0530] "GET /AriesFashionStore/login HTTP/1.1" 200 805
0:0:0:0:0:0:0:1 - - [15/May/2026:13:25:50 +0530] "POST /AriesFashionStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:13:25:50 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 15261
0:0:0:0:0:0:0:1 - - [15/May/2026:13:25:58 +0530] "GET /AriesFashionStore/cart HTTP/1.1" 200 4812
0:0:0:0:0:0:0:1 - - [15/May/2026:13:25:58 +0530] "GET /AriesFashionStore/assets/images/default.png HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/May/2026:13:26:26 +0530] "GET /AriesFashionStore/checkout HTTP/1.1" 200 3910
0:0:0:0:0:0:0:1 - - [15/May/2026:13:26:41 +0530] "POST /AriesFashionStore/checkout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2026:13:26:41 +0530] "GET /AriesFashionStore/order-confirmation?id=17 HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [15/May/2026:13:33:16 +0530] "GET /AriesFashionStore/products HTTP/1.1" 200 14529
0:0:0:0:0:0:0:1 - - [15/May/2026:13:33:30 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 15261
