127.0.0.1 - - [11/May/2026:12:22:42 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [11/May/2026:12:22:56 +0530] "GET /AriesFashionStore/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:22:56 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 9961
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/images/sunglasses.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/images/cap.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/images/kids_shorts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/images/watch.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/css/home.css HTTP/1.1" 200 2214
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/images/kids_tshirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/images/floral_top.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/images/red_dress.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:08 +0530] "GET /AriesFashionStore/assets/images/leggings.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:50 +0530] "GET /AriesFashionStore/products;jsessionid=6F32508A22B4531ACDE3853E79CB79A0 HTTP/1.1" 200 22188
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:50 +0530] "GET /AriesFashionStore/assets/css/products.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:50 +0530] "GET /AriesFashionStore/assets/images/white_tshirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:50 +0530] "GET /AriesFashionStore/assets/images/black_tshirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:50 +0530] "GET /AriesFashionStore/assets/images/formal_shirt.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:23:50 +0530] "GET /AriesFashionStore/assets/images/blue_jeans.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:01 +0530] "GET /AriesFashionStore/products?keyword=&categoryId=1&minPrice=&maxPrice=&sort=asc HTTP/1.1" 200 10675
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:12 +0530] "GET /AriesFashionStore/login HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:12 +0530] "GET /AriesFashionStore/assets/css/auth.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:21 +0530] "GET /AriesFashionStore/product-details?id=2 HTTP/1.1" 200 3470
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:23 +0530] "POST /AriesFashionStore/cart HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:23 +0530] "GET /AriesFashionStore/login HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:27 +0530] "POST /AriesFashionStore/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:27 +0530] "GET /AriesFashionStore/home HTTP/1.1" 200 9609
0:0:0:0:0:0:0:1 - - [11/May/2026:12:24:35 +0530] "GET /AriesFashionStore/category?id=1 HTTP/1.1" 200 6162
